actEnIN,reactEnIN,actEnOUT,reactEnOUT,datetime
24.371,15.487,0,0,1564617600000
27.514,14.766,0,0,1564704000000
27.931,14.342,0,0,1564790400000
35.257,13.751,0,0,1564876800000
37.498,14.199,0,0,1564963200000
35.44,14.474,0,0,1565049600000
36.577,15.039,0,0,1565136000000
39.78,14.975,0,0,1565222400000
38.138,15.275,0,0,1565308800000
37.529,15.837,0,0,1565395200000
37.487,14.527,0,0,1565481600000
37.426,15.132,0,0,1565568000000
48.31,14.869,0,0,1565654400000
47.79,12.586,0,0,1565740800000
38.515,12.863,0,0,1565827200000
37.851,15.538,0,0,1565913600000
36.278,11.986,0,0,1566000000000
36.778,15.913,0,0,1566086400000
35.804,13.645,0,0,1566172800000
35.941,13.901,0,0,1566259200000
36.239,14.816,0,0,1566345600000
35.706,12.445,0,0,1566432000000
35.922,14.058,0,0,1566518400000
48.906,14.384,0,0,1566604800000
48.407,14.106,0,0,1566691200000
39.21,14.742,0,0,1566777600000
39.337,15.011,0,0,1566864000000
46.907,15.036,0,0,1566950400000
55.101,13.849,0,0,1567036800000
54.893,15.633,0,0,1567123200000
54.454,15.179,0,0,1567209600000